Segment,District,Division,Area,Info,date,link
District,98,,,"### District 98

To be Distinguished, the district needs:  

* 50 more paid club(s).
* 1860 more paid membership(s).
* 14 more distinguished club(s).

To be Select Distinguished, the district needs:  

* 54 more paid club(s).
* 2079 more paid membership(s).
* 28 more distinguished club(s).

To be President's Distinguished, the district needs:  

* 60 more paid club(s).
* 2370 more paid membership(s).
* 42 more distinguished club(s).

175 clubs have 5+ DCP goals earned so far.  
100 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,A,,"### Division ATo be Distinguished, the division needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

To be Select Distinguished, the division needs:  

* 2 more paid club(s).
* 4 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 3 more paid club(s).
* 5 more distinguished club(s).

11 clubs have 5+ DCP goals earned so far.  
4 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,A,1,"### Area A1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

6062133-Diamond City Toastmasters Club has 8 DCP goals but still needs 6 more paid members.  
7164888-Mount Carmel Toastmasters Club has 10 DCP goals but still needs 6 more paid members.  
7782447-Dahej Orators Toastmasters Club has 6 DCP goals but still needs 8 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,A,2,"### Area A2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

6090393-Toastmasters Club of Allscripts Vadodara has only 0 members and needs a coach (none assigned).  
7842705-Vatt Thi Gujarati Toastmasters Club has only 8 members and needs a coach (none assigned).  
7854559-Investis Digital India has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,A,3,"### Area A3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

2180628-Swami Vivekanand Toastmasters Club has 10 DCP goals but still needs 12 more paid members.  
7240051-Bhopal Toastmasters Club has 8 DCP goals but still needs 10 more paid members.  
2180628-Swami Vivekanand Toastmasters Club has only 8 members and needs a coach (none assigned).  
2621397-ISC Bhopal Toastmasters International Club has only 0 members and needs a coach (none assigned).  
7240051-Bhopal Toastmasters Club has only 10 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,A,4,"### Area A4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

6692382-Impact Toastmasters Club has 7 DCP goals but still needs 3 more paid members.  
7235362-Avantika Toastmasters Club has 7 DCP goals but still needs 16 more paid members.  
7806306-InfoBeans Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.  
7235362-Avantika Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,B,,"### Division BTo be Distinguished, the division needs:  

* 1 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the division needs:  

* 1 more paid club(s).
* The distinguished club goal has been met.

To be President's Distinguished, the division needs:  

* 2 more paid club(s).
* The distinguished club goal has been met.

13 clubs have 5+ DCP goals earned so far.  
9 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,B,1,"### Area B1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

4297290-NMIMS Mumbai Toastmasters Club (NMTC) has 9 DCP goals but still needs 6 more paid members.  
7851177-Maven has 4 DCP goals but still needs 12 more paid members.  
7877720-Mumbai Orators Toastmasters Club has 10 DCP goals but still needs 2 more paid members.  
7851177-Maven has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,B,2,"### Area B2The area meets the recognition program requirements for club visits.Congratulations, area is President's Distinguished.

7828863-Toastmasters United has 4 DCP goals but still needs 8 more paid members.  


7828863-Toastmasters United has only 12 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,B,3,"### Area B3The August-November club visit goal has been met.  
The area needs 1 more February-May club visit(s) to qualify for any level of distinguished.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 2 more distinguished club(s).

7906218-Toastmasters For Entrepreneurs has 8 DCP goals but still needs 12 more paid members.  
1447379-Mahindra Toastmasters Club has only 0 members and needs a coach (none assigned).  
7906218-Toastmasters For Entrepreneurs has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,B,4,"### Area B4The August-November club visit goal has been met.  
The area needs 3 more February-May club visit(s) to qualify for any level of distinguished.To be Select Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

4764536-JPMC Malad Toastmasters has 8 DCP goals but still needs 6 more paid members.  
7873524-Fractal Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,C,,"### Division CTo be Distinguished, the division needs:  

* 3 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the division needs:  

* 3 more paid club(s).
* The distinguished club goal has been met.

To be President's Distinguished, the division needs:  

* 4 more paid club(s).
* The distinguished club goal has been met.

14 clubs have 5+ DCP goals earned so far.  
10 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,C,1,"### Area C1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 1 more distinguished club(s).

7764009-Capgemini Ikigai Toastmasters Club has 10 DCP goals but still needs 4 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,C,2,"### Area C2The area meets the recognition program requirements for club visits.Congratulations, area is Select Distinguished.

To be President's Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

6786792-WIPRO Rendezvous Toastmasters Club of Pune has 7 DCP goals but still needs 1 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,C,3,"### Area C3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 1 more distinguished club(s).

7431038-STS Pune Toastmasters Club has 7 DCP goals but still needs 8 more paid members.  
6933610-Birlasoft Toastmasters Club Pune has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,C,4,"### Area C4The area meets the recognition program requirements for club visits.Congratulations, area is Distinguished.

To be Select Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* The paid club goal has been met.
* 1 more distinguished club(s).

7926456-ASM Toastmasters Club has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,C,5,"### Area C5The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 2 more distinguished club(s).

7683449-Toastmasters of Mediaocean has 7 DCP goals but still needs 11 more paid members.  
7860939-EIMC Toastmasters Club has 4 DCP goals but still needs 11 more paid members.  
6601517-ATLAS COPCO PUNE TOASTMASTERS CLUB has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,D,,"### Division DTo be Distinguished, the division needs:  

* 7 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the division needs:  

* 7 more paid club(s).
* The distinguished club goal has been met.

To be President's Distinguished, the division needs:  

* 8 more paid club(s).
* 1 more distinguished club(s).

10 clubs have 5+ DCP goals earned so far.  
9 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,D,1,"### Area D1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

5144305-Barclays Pune Toastmasters Club has 4 DCP goals but still needs 3 more paid members.  
7752570-Clarion Toastmasters Club has 6 DCP goals but still needs 12 more paid members.  
7752570-Clarion Toastmasters Club has only 8 members and needs a coach (none assigned).  
7913217-Japfa Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,D,2,"### Area D2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 1 more distinguished club(s).

7908895-Speak-a-Holic Toastmasters Club has only 1 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,D,3,"### Area D3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 3 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 3 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 4 more paid club(s).
* 2 more distinguished club(s).

6006628-Allstate Toastmasters Club Pune has 4 DCP goals but still needs 15 more paid members.  
6006628-Allstate Toastmasters Club Pune has only 2 members and needs a coach (none assigned).  
7780150-Wonders of Women Toastmasters Club has only 6 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,D,4,"### Area D4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

6783469-BNYMellon - Magarpatta has 4 DCP goals but still needs 5 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,E,,"### Division ETo be Distinguished, the division needs:  

* 2 more paid club(s).
* 4 more distinguished club(s).

To be Select Distinguished, the division needs:  

* 2 more paid club(s).
* 5 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 3 more paid club(s).
* 6 more distinguished club(s).

8 clubs have 5+ DCP goals earned so far.  
3 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,E,1,"### Area E1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 3 more distinguished club(s).

1272701-Elan Toastmasters Hyderabad has 4 DCP goals but still needs 2 more paid members.  
2694327-Toastmasters CBIT has 7 DCP goals but still needs 12 more paid members.  
7847230-Spoorthy Telugu Toastmasters has 7 DCP goals but still needs 2 more paid members.  
7799944-SLIC Toastmasters has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
